zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
22820,51165, ,Rockingham VA,"Criders, VA",153,1
22821,51165, ,Rockingham VA,"Dayton, VA",2314,1
22824,51171, ,Shenandoah VA,"Edinburg, VA",2789,1
22827,51139, ,Page VA,"Elkton, VA",285,0.061
22827,51165, ,Rockingham VA,"Elkton, VA",4366,0.939
22830,51165, ,Rockingham VA,"Fulks Run, VA",824,1
22831,51165, ,Rockingham VA,"Hinton, VA",402,1
22832,51165, ,Rockingham VA,"Keezletown, VA",469,1
22834,51165, ,Rockingham VA,"Linville, VA",499,1
22835,51113, ,Madison VA,"Luray, VA",10,0.002
22835,51139, ,Page VA,"Luray, VA",5793,0.998
22840,51165, ,Rockingham VA,"Massanutten, VA",3530,1
22841,51015, ,Augusta VA,"Mount Crawford, VA",41,0.036
22841,51165, ,Rockingham VA,"Mount Crawford, VA",1112,0.964
22842,51171, ,Shenandoah VA,"Mount Jackson, VA",2698,1
22843,51015, ,Augusta VA,"Mount Solon, VA",1084,1
22844,51165, ,Rockingham VA,"New Market, VA",126,0.057
22844,51171, ,Shenandoah VA,"New Market, VA",2096,0.943
22845,51171, ,Shenandoah VA,"Orkney Springs, VA",28,1
22846,51165, ,Rockingham VA,"Penn Laird, VA",694,1
22847,51171, ,Shenandoah VA,"Quicksburg, VA",467,1
22849,51139, ,Page VA,"Shenandoah, VA",2233,0.968
22849,51165, ,Rockingham VA,"Shenandoah, VA",73,0.032
22850,51165, ,Rockingham VA,"Singers Glen, VA",418,1
22851,51139, ,Page VA,"Stanley, VA",2748,1
22853,51165, ,Rockingham VA,"Timberville, VA",1937,0.99
22853,51171, ,Shenandoah VA,"Timberville, VA",20,0.01
22901,51003, ,Albemarle VA,"Charlottesville, VA",12520,0.827
22901,51540, ,Charlottesville city VA,"Charlottesville, VA",2619,0.173
22902,51003, ,Albemarle VA,"Charlottesville, VA",3754,0.378
22902,51540, ,Charlottesville city VA,"Charlottesville, VA",6167,0.622
22903,51003, ,Albemarle VA,"Charlottesville, VA",5731,0.355
22903,51540, ,Charlottesville city VA,"Charlottesville, VA",10402,0.645
22904,51003, ,Albemarle VA,"University of Virginia, VA",13,0.929
22904,51540, ,Charlottesville city VA,"University of Virginia, VA",1,0.071
22911,51003, ,Albemarle VA,"Hollymead, VA",7055,1
22920,51003, ,Albemarle VA,"Afton, VA",670,0.336
22920,51015, ,Augusta VA,"Afton, VA",19,0.01
22920,51125, ,Nelson VA,"Afton, VA",1308,0.655
22922,51009, ,Amherst VA,"Arrington, VA",53,0.055
22922,51125, ,Nelson VA,"Arrington, VA",909,0.945
22923,51003, ,Albemarle VA,"Barboursville, VA",498,0.256
22923,51079, ,Greene VA,"Barboursville, VA",786,0.403
22923,51137, ,Orange VA,"Barboursville, VA",665,0.341
22931,51003, ,Albemarle VA,"Covesville, VA",203,1
22932,51003, ,Albemarle VA,"Crozet, VA",3129,1
22935,51003, ,Albemarle VA,"Dyke, VA",166,0.398
22935,51079, ,Greene VA,"Dyke, VA",251,0.602
22936,51003, ,Albemarle VA,"Earlysville, VA",2001,1
22937,51003, ,Albemarle VA,"Esmont, VA",680,1
22938,51003, ,Albemarle VA,"Faber, VA",33,0.047
22938,51125, ,Nelson VA,"Faber, VA",668,0.953
22939,51015, ,Augusta VA,"Fishersville, VA",2109,1
22940,51003, ,Albemarle VA,"Free Union, VA",430,0.853
22940,51079, ,Greene VA,"Free Union, VA",74,0.147
22942,51003, ,Albemarle VA,"Gordonsville, VA",267,0.069
22942,51109, ,Louisa VA,"Gordonsville, VA",1885,0.484
22942,51137, ,Orange VA,"Gordonsville, VA",1741,0.447
22943,51003, ,Albemarle VA,"Greenwood, VA",219,1
22946,51003, ,Albemarle VA,"Keene, VA",111,1
22947,51003, ,Albemarle VA,"Keswick, VA",1823,0.944
22947,51065, ,Fluvanna VA,"Keswick, VA",29,0.015
22947,51109, ,Louisa VA,"Keswick, VA",79,0.041
22948,51113, ,Madison VA,"Locust Dale, VA",104,1
22949,51125, ,Nelson VA,"Lovingston, VA",655,1
22952,51015, ,Augusta VA,"Lyndhurst, VA",922,1
22958,51015, ,Augusta VA,"Nellysford, VA",172,0.059
22958,51125, ,Nelson VA,"Nellysford, VA",2759,0.941
22959,51003, ,Albemarle VA,"North Garden, VA",705,1
22960,51113, ,Madison VA,"Orange, VA",431,0.092
22960,51137, ,Orange VA,"Orange, VA",4049,0.864
22960,51177, ,Spotsylvania VA,"Orange, VA",209,0.045
22963,51065, ,Fluvanna VA,"Lake Monticello, VA",6489,1
22964,51125, ,Nelson VA,"Piney River, VA",127,1
22967,51009, ,Amherst VA,"Roseland, VA",132,0.097
22967,51125, ,Nelson VA,"Roseland, VA",1227,0.903
22968,51003, ,Albemarle VA,"Ruckersville, VA",144,0.038
22968,51079, ,Greene VA,"Ruckersville, VA",3648,0.962
22969,51003, ,Albemarle VA,"Schuyler, VA",333,0.472
22969,51125, ,Nelson VA,"Schuyler, VA",373,0.528
22971,51125, ,Nelson VA,"Shipman, VA",873,1
22972,51137, ,Orange VA,"Somerset, VA",206,1
22973,51079, ,Greene VA,"Stanardsville, VA",2750,0.969
22973,51113, ,Madison VA,"Stanardsville, VA",87,0.031
22974,51003, ,Albemarle VA,"Troy, VA",148,0.086
22974,51065, ,Fluvanna VA,"Troy, VA",1178,0.687
22974,51109, ,Louisa VA,"Troy, VA",389,0.227
22976,51125, ,Nelson VA,"Tyro, VA",214,1
22980,51015, ,Augusta VA,"Waynesboro, VA",4505,0.317
22980,51820, ,Waynesboro city VA,"Waynesboro, VA",9717,0.683
22989,51113, ,Madison VA,"Woodberry Forest, VA",40,1
23002,51007, ,Amelia VA,"Amelia Court House, VA",4330,0.995
23002,51135, ,Nottoway VA,"Amelia Court House, VA",21,0.005
23004,51029, ,Buckingham VA,"Arvonia, VA",433,1
23005,51085, ,Hanover VA,"Ashland, VA",6156,1
23009,51101, ,King William VA,"Aylett, VA",2500,1
23011,51127, ,New Kent VA,"Barhamsville, VA",420,1
23015,51033, ,Caroline VA,"Beaverdam, VA",183,0.112
23015,51085, ,Hanover VA,"Beaverdam, VA",1205,0.736
23015,51109, ,Louisa VA,"Beaverdam, VA",23,0.014
23015,51177, ,Spotsylvania VA,"Beaverdam, VA",227,0.139
23021,51115, ,Mathews VA,"Bohannon, VA",165,1
23022,51065, ,Fluvanna VA,"Bremo Bluff, VA",459,1
23023,51097, ,King and Queen VA,"Bruington, VA",153,1
23024,51085, ,Hanover VA,"Bumpass, VA",26,0.006
23024,51109, ,Louisa VA,"Bumpass, VA",3440,0.823
23024,51177, ,Spotsylvania VA,"Bumpass, VA",714,0.171
23025,51115, ,Mathews VA,"Cardinal, VA",134,1
23027,51049, ,Cumberland VA,"Cartersville, VA",619,1
23030,51036, ,Charles City VA,"Charles City, VA",2300,0.994
23030,51087, ,Henrico VA,"Charles City, VA",14,0.006
23032,51119, ,Middlesex VA,"Church View, VA",147,1
23035,51115, ,Mathews VA,"Cobbs Creek, VA",813,1
23038,51049, ,Cumberland VA,"Columbia, VA",320,0.352
23038,51065, ,Fluvanna VA,"Columbia, VA",182,0.2
23038,51075, ,Goochland VA,"Columbia, VA",406,0.447
23039,51075, ,Goochland VA,"Crozier, VA",468,1
23040,51029, ,Buckingham VA,"Cumberland, VA",141,0.068
23040,51049, ,Cumberland VA,"Cumberland, VA",1927,0.932
